Date : 2026-06-01 01:36:23
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 120 files,  13402 codes, 1770 comments, 2299 blanks, all 17471 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_folder_browser.xml                                                          | XML             |         10 |          0 |          3 |         13 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_main.xml                                                                    | XML             |         14 |          0 |          4 |         18 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\arrays.xml                                                                     | XML             |        209 |         12 |         12 |        233 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors.xml                                                                     | XML             |         15 |          0 |          1 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors_tv.xml                                                                  | XML             |          8 |          1 |          1 |         10 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\strings.xml                                                                    | XML             |         64 |         13 |         14 |         91 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes.xml                                                                     | XML             |         28 |          8 |          4 |         40 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes_tv.xml                                                                  | XML             |         15 |          6 |          1 |         22 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\backup_rules.xml                                                                  | XML             |          5 |          0 |          1 |          6 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\data_extraction_rules.xml                                                         | XML             |          7 |          0 |          1 |          8 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\dream_settings.xml                                                                | XML             |          2 |          0 |          1 |          3 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml                                                                 | XML             |        270 |         12 |         62 |        344 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt                            | Kotlin          |        121 |          3 |         22 |        146 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt                            | Kotlin          |         68 |          4 |         13 |         85 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\build.gradle.kts                                                                                       | Kotlinscript    |          5 |          1 |          0 |          6 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle.properties                                                                                      | Java Properties |          6 |         21 |          9 |         36 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties                                                               | Java Properties |          5 |          0 |          0 |          5 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradlew.bat                                                                                            | Batch           |         41 |         32 |         22 |         95 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts                                                                                    | Kotlinscript    |         19 |          0 |          2 |         21 |
| Total                                                                                                                                                 |                 |     13,402 |      1,770 |      2,299 |     17,471 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
